Group,Room,Tx,ID,Crate,Parity,IceTag_#,Breed_Group,Start_Date,End_Date,Video_d1,Video_d2,Video_d3,Video_d4,Video_d20,Farrow Date,Wean Date
1,2,4,55501,29,0,889,1915,8/4/2019,8/24/2019,8/4/2019,8/5/2019,8/6/2019,8/7/2019,8/23/2019,8/2/2019,9/4/2019
1,2,3,55504,33,0,777,1915,8/6/2019,8/26/2019,8/6/2019,8/7/2019,8/8/2019,8/9/2019,8/25/2019,8/4/2019,9/4/2019
1,3,3,55508,24,0,885,1915,8/5/2019,8/25/2019,8/5/2019,8/6/2019,8/7/2019,8/8/2019,8/24/2019,8/3/2019,9/4/2019
2,4,1,55524,12,0,891,1917,8/19/2019,9/9/2019,8/19/2019,8/20/2019,8/21/2019,8/22/2019,9/7/2019,8/17/2019,9/19/2019
2,4,2,55471,17,0,898,1917,8/17/2019,9/7/2019,8/17/2019,8/18/2019,8/19/2019,8/20/2019,9/5/2019,8/15/2019,9/19/2019
3,1,3,55503,39,0,885,1919,8/27/2019,9/15/2019,8/30/2019,8/31/2019,9/1/2019,9/2/2019,9/18/2019,8/28/2019,10/2/2019
4,2,4,55516,29,0,887,1921,9/13/2019,10/2/2019,9/13/2019,9/14/2019,9/15/2019,9/16/2019,10/2/2019,9/11/2019,10/16/2019
4,2,3,55527,30,0,788,1921,9/13/2019,10/1/2019,9/14/2019,9/15/2019,9/16/2019,9/17/2019,10/3/2019,9/12/2019,10/16/2019
4,3,1,55515,27,0,888,1921,9/19/2019,10/9/2019,9/19/2019,9/20/2019,9/21/2019,9/22/2019,10/8/2019,9/17/2019,10/16/2019
5,4,4,55489,13,0,893,1923,9/27/2019,10/18/2019,9/29/2019,9/30/2019,10/1/2019,10/2/2019,10/18/2019,9/27/2019,10/29/2019
5,4,2,55526,17,0,775,1923,9/26/2019,10/18/2019,9/29/2019,9/30/2019,10/1/2019,10/2/2019,10/21/2019,9/27/2019,10/29/2019
6,1,1,55536,43,0,908,1925,10/9/2019,10/29/2019,10/9/2019,10/10/2019,10/11/2019,10/12/2019,11/1/2019,10/7/2019,10/14/2019
